Name,Rating,Difficulty
Ramesh Srinivasan,3.6,3.3
Vojislav Stamenkovic,0,0
James Steintrager,3.8,3
Judith Stepan-Norris,2.4,3
Hal Stern,4.1,3.8
Hal Stern,4.1,3.8
Ronald J. Stern,2.3,3.7
Sharon Stern,4,2.9
Mark Steyvers,3.5,3
Daniel Stokols,4.6,2.6
Ian Straughn,3.9,3.4
Georg Striedter,4,3.5
Luis Suarez-Villa,2.9,2
Erik Sudderth,3.4,4.1
Christine Suetterlin,4.4,3
Serk Bae Suh,3.3,3.1
Lizhi Sun,4.1,2.9
Shaun Sun,3.3,3.6
Zheng Sun,4.6,2.4
Lee Swindlehurst,3.5,4
Rein Taagepera,3.9,3.3
Peter Taborek,3,4
Timothy Tackett,4.5,2.6
Haithem Taha,5,4
Richard Taylor,4.7,2.2
Edward Telles,4.3,3
Andrea J. Tenner,2.9,3.9
Rei Terada,4.8,2.3
Chuu-Lian Terng,3.1,3.1
Alan Terricciano,4.1,2.3
Jennifer Terry,4.4,3.1
Mike Tesler,3.7,2.7
Katherine Thompson-Peer,3.1,3.8
Danielle Thomsen,4.8,2.9
Timothy M. Tift,4.9,1.5
David Timberlake,4.2,2.6
Roberto Tinoco,3.8,3.8
Edriss Titi,2.8,4
Hector Tobar,4.4,2.3
Julio Torres,4,4
Aaron Trammell,2.6,2.4
Judith Treas,2.3,3.9
David K. Trend,5,1.6
Kathleen Treseder,4.9,1.8
Virginia L. Trimble,2.5,3
Bruce Berg,3.8,2.5
Shu-Chen Tsai,1,3
Li Sheng Tseng,3.6,2.5
Irene Tucker,2.1,3.8
Laura Tucker,3.3,5
Stephen Earl Tucker,3.8,2.8
Nicola Ulibarri,4.9,1.9
Kojiro Umezaki,4.8,2.4
Lorenzo Valdevit,4.4,3
Andre Van Der Hoek,3.5,3.5
Joachim Vandekerckhove,4.8,3.9
Christopher Vanderwal,4,3.6
Roxanne Varzi,3.5,2.1
Vijay Vazirani,4.8,3.7
Alex Veidenbaum,2.1,4
Tejaswi Velayudhan,3.2,4.2
Camilo Cuervo,2,3
Isabella Velicogna,3.3,2.3
Vasan Venugopalan,2.5,4.3
Roman Vershynin,3.2,3.5
Veronica Vieira,0,0
Adriana Villavicencio,2.8,3.5
Juan Villegas,4,3
Giulia Vittori,0,0
Linda Trinh Vo,5,3.5
Alexandra Voloshina,3.4,2.8
Samantha Vortherms,4.4,4
Nalini Venkatasubramanian,3.8,2.8
Wilima Wadhwa,3.6,3
Craig Michael Walsh,3.5,3.4
Anne Walthall,3.1,3.4
Daqing Wan,2.9,3.3
Szu-Wen Wang,5,3
Tong Wang,3.9,3.6
Wenqi Wang,4.8,3.5
Zhiying Wang,1.5,4.8
Rahul Warrior,4,3.4
Julie Washington,3.9,2.5
Kai F. Wehmeier,4.1,2.6
Gregory Alan Weiss,3.3,3.9
Stephen Weller,0,0
Douglas R. White,1.9,2.7
Aaron White,0,0
John M. Whiteley,3,2.3
O Whiteson Daniel,2.5,4
Amy Wilentz,4.5,3.2
Adrienne E. Williams,5,3.9
Bert Winther-Tamaki,4.6,3
Dolores Wirth,3.1,3.6
Sholeh Wolpeacute,0,0
Jennifer Wong-Ma,3.8,4.8
Charles Wright,2.6,4.4
Valerie Wright,2.4,3.6
Jun Wu,2.4,3.8
Ruqian Wu,3,3.9
Roberta Wue,4.2,3
Peter Woodruff,2.8,4.5
Jingbo Xia,1.9,3.8
Liangzhong Xiang,1.9,3
Xiaohui Xie,3.1,3.8
Huoling Xin,5,1
Jack Xin,2.8,3.1
Mingdi Xin,3.4,3.3
DI Xue,3.3,4
Guiyun Yan,4.3,3.2
Jenny Yang,4.8,1.8
James Yeh,2.9,2.3
Shuya Yin,3.9,3
Monica Youn,5,3
Hamed Youssefpour,5,4
Clare C. Yu,2.1,3.6
Jin Yu,3.8,3
Jin-Yi Yu,3.3,2.8
Yaming Yu,3,4.3
Yifeng Yu,2.5,4.3
Zhaoxia Yu,4.4,3.3
Farzin Zareian,3.1,4.4
Iryna Zenyuk,4,3
Jing Zhang,2.1,2.8
Jing Zhang,2.1,2.8
Xiangwen Zhang,3.4,4.3
Shuang Zhao,4.6,2.6
Weian Zhao,2.8,2.8
Kaimei Zheng,3.4,3.3
Lukun Zheng,4.1,2.4
Weian Zheng,2.8,2.1
Chenqi Zhu,3.5,3.9
Joanne Frattaroli-Zinger,5,3.3
Hadar Ziv,2.8,3
